algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
sylsvd,trsyl,8192,256,37486592,1000000,32,1123573415,
sylsvd,gesvd,8192,256,37486592,1000000,32,1784051195,
sylsvd,geev,8192,256,37486592,1000000,32,3279379259,
sylsvd,gemm,8192,256,37486592,1000000,32,134742144,
sylsvd,trsyl,8192,256,37486592,4000000,32,1123573415,
sylsvd,gesvd,8192,256,37486592,4000000,32,1784051195,
sylsvd,geev,8192,256,37486592,4000000,32,3279379259,
sylsvd,gemm,8192,256,37486592,4000000,32,134742144,
sylsvd,trsyl,8192,512,37486592,1000000,16,4394605783,
sylsvd,gesvd,8192,512,37486592,1000000,16,10555773292,
sylsvd,geev,8192,512,37486592,1000000,16,12254313510,
sylsvd,gemm,8192,512,37486592,1000000,16,538968128,
sylsvd,trsyl,8192,512,37486592,4000000,16,4394605783,
sylsvd,gesvd,8192,512,37486592,4000000,16,10555773292,
sylsvd,geev,8192,512,37486592,4000000,16,12254313510,
sylsvd,gemm,8192,512,37486592,4000000,16,538968128,
sylsvd,trsyl,8192,1024,37486592,1000000,8,17380170778,
sylsvd,gesvd,8192,1024,37486592,1000000,8,29630055974,
sylsvd,geev,8192,1024,37486592,1000000,8,45260942421,
sylsvd,gemm,8192,1024,37486592,1000000,8,2153775136,
sylsvd,trsyl,8192,1024,37486592,4000000,8,17380170778,
sylsvd,gesvd,8192,1024,37486592,4000000,8,29630055974,
sylsvd,geev,8192,1024,37486592,4000000,8,45260942421,
sylsvd,gemm,8192,1024,37486592,4000000,8,2153775136,
sylsvd,trsyl,8192,2048,37486592,1000000,4,69124250562,
sylsvd,gesvd,8192,2048,37486592,1000000,4,30420141384,
sylsvd,geev,8192,2048,37486592,1000000,4,31731827612,
sylsvd,gemm,8192,2048,37486592,1000000,4,8615100432,
sylsvd,trsyl,8192,2048,37486592,4000000,4,69124250562,
sylsvd,gesvd,8192,2048,37486592,4000000,4,30420141384,
sylsvd,geev,8192,2048,37486592,4000000,4,31731827612,
sylsvd,gemm,8192,2048,37486592,4000000,4,8615100432,
sylsvd,trsyl,10240,256,37486592,1000000,40,1404452751,
sylsvd,gesvd,10240,256,37486592,1000000,40,2179231879,
sylsvd,geev,10240,256,37486592,1000000,40,4105994653,
sylsvd,gemm,10240,256,37486592,1000000,40,168427680,
sylsvd,trsyl,10240,256,37486592,4000000,40,1404452751,
sylsvd,gesvd,10240,256,37486592,4000000,40,2179231879,
sylsvd,geev,10240,256,37486592,4000000,40,4105994653,
sylsvd,gemm,10240,256,37486592,4000000,40,168427680,
sylsvd,trsyl,10240,512,37486592,1000000,20,5493243211,
sylsvd,gesvd,10240,512,37486592,1000000,20,12983397486,
sylsvd,geev,10240,512,37486592,1000000,20,15361743570,
sylsvd,gemm,10240,512,37486592,1000000,20,673710160,
sylsvd,trsyl,10240,512,37486592,4000000,20,5493243211,
sylsvd,gesvd,10240,512,37486592,4000000,20,12983397486,
sylsvd,geev,10240,512,37486592,4000000,20,15361743570,
sylsvd,gemm,10240,512,37486592,4000000,20,673710160,
sylsvd,trsyl,10240,1024,37486592,1000000,10,21725199455,
