algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
lu,getrfpiv,8192,256,37486592,1000000,32,17764991,1656157618,846053442,399084528,
lu,gemm,8192,256,37486592,1000000,10416,126181926,41358257956,13798429279,3069921958,
lu,trsmswp,8192,256,37486592,1000000,496,34644363,4082714672,2332779836,1177737304,
lu,geswp,8192,256,37486592,1000000,31,5587078,212231074,636711583,554118481,
lu,getrfpiv,8192,256,37486592,4000000,32,17537086,1656156359,1069417512,621521336,
lu,gemm,8192,256,37486592,4000000,10416,126242959,41358279690,14291392877,3560176860,
lu,trsmswp,8192,256,37486592,4000000,496,34858187,4082692016,2719967975,1554043132,
lu,geswp,8192,256,37486592,4000000,31,5668514,212231779,736716059,651050733,
lu,getrfpiv,8192,512,37486592,1000000,16,25964901,2774957166,1235999451,499724805,
lu,gemm,8192,512,37486592,1000000,1240,121406885,38217755079,12546536982,2699695008,
lu,trsmswp,8192,512,37486592,1000000,120,44041626,5005959493,2942788824,1553901701,
lu,geswp,8192,512,37486592,1000000,15,8482388,200781347,833999927,760916452,
lu,getrfpiv,8192,512,37486592,4000000,16,26043903,2774956943,1505655396,768335991,
lu,gemm,8192,512,37486592,4000000,1240,118261604,38217728257,12929435885,3083697236,
lu,trsmswp,8192,512,37486592,4000000,120,43710066,5005957988,3562549891,2157699686,
lu,geswp,8192,512,37486592,4000000,15,8425117,200781089,1008497958,930119244,
lu,getrfpiv,8192,1024,37486592,1000000,8,38753622,5071626282,2001649695,681860738,
lu,gemm,8192,1024,37486592,1000000,140,76434450,33935589337,10522455112,1892137240,
lu,trsmswp,8192,1024,37486592,1000000,28,41115712,6415517475,3405598473,1648325034,
lu,geswp,8192,1024,37486592,1000000,7,11385026,185246999,854135462,779710923,
lu,getrfpiv,8192,1024,37486592,4000000,8,38658472,5071625557,2316541041,995537424,
lu,gemm,8192,1024,37486592,4000000,140,71185307,33935579941,10733011776,2102116479,
lu,trsmswp,8192,1024,37486592,4000000,28,40836257,6415515195,3975335468,2220649071,
lu,geswp,8192,1024,37486592,4000000,7,11410390,185246546,1047020408,969427348,
lu,getrfpiv,8192,2048,37486592,1000000,4,51262428,9836269819,3600695179,1033793578,
lu,gemm,8192,2048,37486592,1000000,14,64067977,26941608529,8245884526,1412962455,
lu,trsmswp,8192,2048,37486592,1000000,6,51910468,8390010979,3885620198,1654947813,
lu,geswp,8192,2048,37486592,1000000,3,22677565,157862066,818207078,753070416,
