algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
lu,getrfpiv,8192,256,37486592,1000000,32,1164420087,
lu,gemm,8192,256,37486592,1000000,10416,43858567872,
lu,trsmswp,8192,256,37486592,1000000,496,1502887936,
lu,geswp,8192,256,37486592,1000000,31,0,
lu,getrfpiv,8192,256,37486592,4000000,32,1164420087,
lu,gemm,8192,256,37486592,4000000,10416,43858567872,
lu,trsmswp,8192,256,37486592,4000000,496,1502887936,
lu,geswp,8192,256,37486592,4000000,31,0,
lu,getrfpiv,8192,512,37486592,1000000,16,2290836471,
lu,gemm,8192,512,37486592,1000000,1240,41770029920,
lu,trsmswp,8192,512,37486592,1000000,120,2463006720,
lu,geswp,8192,512,37486592,1000000,15,0,
lu,getrfpiv,8192,512,37486592,4000000,16,2290836471,
lu,gemm,8192,512,37486592,4000000,1240,41770029920,
lu,trsmswp,8192,512,37486592,4000000,120,2463006720,
lu,geswp,8192,512,37486592,4000000,15,0,
lu,getrfpiv,8192,1024,37486592,1000000,8,4604662775,
lu,gemm,8192,1024,37486592,1000000,140,37691064880,
lu,trsmswp,8192,1024,37486592,1000000,28,4182556672,
lu,geswp,8192,1024,37486592,1000000,7,0,
lu,getrfpiv,8192,1024,37486592,4000000,8,4604662775,
lu,gemm,8192,1024,37486592,4000000,140,37691064880,
lu,trsmswp,8192,1024,37486592,4000000,28,4182556672,
lu,geswp,8192,1024,37486592,4000000,7,0,
lu,getrfpiv,8192,2048,37486592,1000000,4,9507684343,
lu,gemm,8192,2048,37486592,1000000,14,30152851512,
lu,trsmswp,8192,2048,37486592,1000000,6,6814531584,
lu,geswp,8192,2048,37486592,1000000,3,0,
lu,getrfpiv,8192,2048,37486592,4000000,4,9507684343,
lu,gemm,8192,2048,37486592,4000000,14,30152851512,
lu,trsmswp,8192,2048,37486592,4000000,6,6814531584,
lu,geswp,8192,2048,37486592,4000000,3,0,
lu,getrfpiv,10240,256,37486592,1000000,40,1811388149,
lu,gemm,10240,256,37486592,1000000,20540,86487613680,
lu,trsmswp,10240,256,37486592,1000000,780,2363412480,
lu,geswp,10240,256,37486592,1000000,39,0,
lu,getrfpiv,10240,256,37486592,4000000,40,1811388149,
lu,gemm,10240,256,37486592,4000000,20540,86487613680,
lu,trsmswp,10240,256,37486592,4000000,780,2363412480,
lu,geswp,10240,256,37486592,4000000,39,0,
lu,getrfpiv,10240,512,37486592,1000000,20,3556263669,
lu,gemm,10240,512,37486592,1000000,2470,83203204760,
lu,trsmswp,10240,512,37486592,1000000,190,3899760640,
lu,geswp,10240,512,37486592,1000000,19,0,
lu,getrfpiv,10240,512,37486592,4000000,20,3556263669,
lu,gemm,10240,512,37486592,4000000,2470,83203204760,
lu,trsmswp,10240,512,37486592,4000000,190,3899760640,
lu,geswp,10240,512,37486592,4000000,19,0,
lu,getrfpiv,10240,1024,37486592,1000000,10,7120454389,
lu,gemm,10240,1024,37486592,1000000,285,76728239220,
lu,trsmswp,10240,1024,37486592,1000000,45,6721966080,
lu,geswp,10240,1024,37486592,1000000,9,0,
lu,getrfpiv,10240,1024,37486592,4000000,10,7120454389,
lu,gemm,10240,1024,37486592,4000000,285,76728239220,
lu,trsmswp,10240,1024,37486592,4000000,45,6721966080,
lu,geswp,10240,1024,37486592,4000000,9,0,
lu,getrfpiv,10240,2048,37486592,1000000,5,14594726389,
lu,gemm,10240,2048,37486592,1000000,30,64613253240,
lu,trsmswp,10240,2048,37486592,1000000,10,11357552640,
lu,geswp,10240,2048,37486592,1000000,4,0,
lu,getrfpiv,10240,2048,37486592,4000000,5,14594726389,
lu,gemm,10240,2048,37486592,4000000,30,64613253240,
lu,trsmswp,10240,2048,37486592,4000000,10,11357552640,
lu,geswp,10240,2048,37486592,4000000,4,0,
lu,getrfpiv,12288,256,37486592,1000000,48,2600701427,
lu,gemm,12288,256,37486592,1000000,35720,150405918240,
lu,trsmswp,12288,256,37486592,1000000,1128,3417858048,
lu,geswp,12288,256,37486592,1000000,47,0,
