algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
qr,tsmqr,22528,1024,37486592,4000000,3311,2238574231894,
qr,tsqrt,22528,1024,37486592,4000000,231,169849583904,
qr,geqrt,22528,2048,37486592,1000000,11,36939976176,
qr,ormqr,22528,2048,37486592,1000000,55,178072125440,
qr,tsmqr,22528,2048,37486592,1000000,385,2077777268490,
qr,tsqrt,22528,2048,37486592,1000000,55,320481355040,
qr,geqrt,22528,2048,37486592,4000000,11,36939976176,
qr,ormqr,22528,2048,37486592,4000000,55,178072125440,
qr,tsmqr,22528,2048,37486592,4000000,385,2077777268490,
qr,tsqrt,22528,2048,37486592,4000000,55,320481355040,
qr,geqrt,24576,256,37486592,1000000,96,749377831,
qr,ormqr,24576,256,37486592,1000000,4560,29324083200,
qr,tsmqr,24576,256,37486592,1000000,290320,3110821186720,
qr,tsqrt,24576,256,37486592,1000000,4560,55293611520,
qr,geqrt,24576,256,37486592,4000000,96,749377831,
qr,ormqr,24576,256,37486592,4000000,4560,29324083200,
qr,tsmqr,24576,256,37486592,4000000,290320,3110821186720,
qr,tsqrt,24576,256,37486592,4000000,4560,55293611520,
qr,geqrt,24576,512,37486592,1000000,48,2724988951,
qr,ormqr,24576,512,37486592,1000000,1128,57494863872,
qr,tsmqr,24576,512,37486592,1000000,35720,3035621978960,
qr,tsqrt,24576,512,37486592,1000000,1128,105609640704,
qr,geqrt,24576,512,37486592,4000000,48,2724988951,
qr,ormqr,24576,512,37486592,4000000,1128,57494863872,
qr,tsmqr,24576,512,37486592,4000000,35720,3035621978960,
qr,tsqrt,24576,512,37486592,4000000,1128,105609640704,
qr,geqrt,24576,1024,37486592,1000000,24,10350428047,
qr,ormqr,24576,1024,37486592,1000000,276,111955279872,
qr,tsmqr,24576,1024,37486592,1000000,4324,2923465713896,
qr,tsqrt,24576,1024,37486592,1000000,276,202937165184,
qr,geqrt,24576,1024,37486592,4000000,24,10350428047,
qr,ormqr,24576,1024,37486592,4000000,276,111955279872,
qr,tsmqr,24576,1024,37486592,4000000,4324,2923465713896,
qr,tsqrt,24576,1024,37486592,4000000,276,202937165184,
qr,geqrt,24576,2048,37486592,1000000,12,40298150731,
qr,ormqr,24576,2048,37486592,1000000,66,213686550528,
qr,tsmqr,24576,2048,37486592,1000000,506,2730792981444,
qr,tsqrt,24576,2048,37486592,1000000,66,384577626048,
qr,geqrt,24576,2048,37486592,4000000,12,40298150731,
qr,ormqr,24576,2048,37486592,4000000,66,213686550528,
qr,tsmqr,24576,2048,37486592,4000000,506,2730792981444,
qr,tsqrt,24576,2048,37486592,4000000,66,384577626048,
