algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
qr,geqrt,8192,256,37486592,1000000,32,247964,562053739,346782830,138293674,
qr,ormqr,8192,256,37486592,1000000,496,7006836,3609358905,1679667262,675113969,
qr,tsmqr,8192,256,37486592,1000000,10416,247032621,110252287437,39276694634,10380926012,
qr,tsqrt,8192,256,37486592,1000000,496,6854496,10397808027,6583527783,2488912787,
qr,geqrt,8192,256,37486592,4000000,32,246072,562052495,351244686,142462431,
qr,ormqr,8192,256,37486592,4000000,496,7055553,3609357507,1776088194,777450261,
qr,tsmqr,8192,256,37486592,4000000,10416,245886255,110252362295,42153792630,13235733003,
qr,tsqrt,8192,256,37486592,4000000,496,6396584,10397804458,6844298348,2771799384,
qr,geqrt,8192,512,37486592,1000000,16,1020760,1584603263,1593385460,934815398,
qr,ormqr,8192,512,37486592,1000000,120,5373928,6104052090,2680576891,1052357038,
qr,tsmqr,8192,512,37486592,1000000,1240,151211129,98601037038,33546277004,7995554852,
qr,tsqrt,8192,512,37486592,1000000,120,9983173,15823675366,18131336127,11159172123,
qr,geqrt,8192,512,37486592,4000000,16,976350,1584602628,1833248372,1171465031,
qr,ormqr,8192,512,37486592,4000000,120,4819638,6104052770,2867422095,1237574259,
qr,tsmqr,8192,512,37486592,4000000,1240,149359583,98601077993,34924891908,9391879956,
qr,tsqrt,8192,512,37486592,4000000,120,9659742,15823669777,22625003694,15545505236,
qr,geqrt,8192,1024,37486592,1000000,8,2973417,5037024943,6648354321,4359230528,
qr,ormqr,8192,1024,37486592,1000000,28,15813045,10659497124,4032734835,1267453752,
qr,tsmqr,8192,1024,37486592,1000000,140,132266266,86126810471,27316598729,5380393525,
qr,tsqrt,8192,1024,37486592,1000000,28,15777082,25606559521,34929800529,22910531208,
qr,geqrt,8192,1024,37486592,4000000,8,2954117,5037023797,8057188349,5736024034,
qr,ormqr,8192,1024,37486592,4000000,28,15602930,10659496403,4347839877,1582612602,
qr,tsmqr,8192,1024,37486592,4000000,140,129370675,86126805701,28288057413,6338614073,
qr,tsqrt,8192,1024,37486592,4000000,28,15745616,25606553733,43939467117,31319759803,
qr,geqrt,8192,2048,37486592,1000000,4,282863165,17578069093,27055970310,18630187428,
qr,ormqr,8192,2048,37486592,1000000,6,67171407,17701528398,6190643131,1673246267,
qr,tsmqr,8192,2048,37486592,1000000,14,179220624,67862356921,21035547378,3847444961,
qr,tsqrt,8192,2048,37486592,1000000,6,1963572030,40585975917,62640813352,43352038792,
qr,geqrt,8192,2048,37486592,4000000,4,289386678,17578061610,35453131021,27088854248,
qr,ormqr,8192,2048,37486592,4000000,6,63971565,17701527204,7024162563,2505564610,
qr,tsmqr,8192,2048,37486592,4000000,14,171043711,67862352919,21431343524,4250865149,
qr,tsqrt,8192,2048,37486592,4000000,6,1952607523,40585966956,95238199624,75790057721,
qr,geqrt,10240,256,37486592,1000000,40,316176,702428317,435780312,174511900,
qr,ormqr,10240,256,37486592,1000000,780,11224664,5676003963,2641113305,1059691444,
qr,tsmqr,10240,256,37486592,1000000,20540,529392038,217413891579,77603091144,20546871956,
qr,tsqrt,10240,256,37486592,1000000,780,11311178,16351357162,10369413795,3950812216,
qr,geqrt,10240,256,37486592,4000000,40,316372,702427532,439275879,178257065,
qr,ormqr,10240,256,37486592,4000000,780,11334219,5676000434,2763422009,1194811337,
qr,tsmqr,10240,256,37486592,4000000,20540,534792277,217413673258,83577186606,26520026409,
qr,tsqrt,10240,256,37486592,4000000,780,11466464,16351383610,10649497472,4226816460,
qr,geqrt,10240,512,37486592,1000000,20,1313777,1980615629,1986721823,1165246362,
qr,ormqr,10240,512,37486592,1000000,190,7468222,9664745700,4165193561,1591989575,
qr,tsmqr,10240,512,37486592,1000000,2470,305844792,196406981649,66851083164,15938550600,
qr,tsqrt,10240,512,37486592,1000000,190,16388624,25054152417,28794838589,17760130455,
qr,geqrt,10240,512,37486592,4000000,20,1358071,1980614732,2293634702,1466606710,
qr,ormqr,10240,512,37486592,4000000,190,7826504,9664744827,4639197379,2053018002,
qr,tsmqr,10240,512,37486592,4000000,2470,305608627,196406970067,69615797524,18798371310,
qr,tsqrt,10240,512,37486592,4000000,190,15963430,25054149797,35946429395,24728559950,
qr,geqrt,10240,1024,37486592,1000000,10,4287174,6296142221,8303953778,5447239684,
qr,ormqr,10240,1024,37486592,1000000,45,26622385,17131327377,6385662462,1946558104,
qr,tsmqr,10240,1024,37486592,1000000,285,264968310,175329567989,55753077011,11071029396,
qr,tsqrt,10240,1024,37486592,1000000,45,26786910,41153400335,55991311400,36680185909,
qr,geqrt,10240,1024,37486592,4000000,10,3798748,6296132831,10104527140,7207885980,
qr,ormqr,10240,1024,37486592,4000000,45,25182739,17131325714,7068374386,2622503460,
qr,tsmqr,10240,1024,37486592,4000000,285,269898989,175329553188,56636642243,12036047164,
qr,tsqrt,10240,1024,37486592,4000000,45,26335639,41153391432,70353636251,50357387973,
qr,geqrt,10240,2048,37486592,1000000,5,379870095,21972446164,33942635786,23406427259,
qr,ormqr,10240,2048,37486592,1000000,10,109947454,29502534768,10300996953,2779640711,
qr,tsmqr,10240,2048,37486592,1000000,30,357951160,145419328541,44962381495,8136183300,
qr,tsqrt,10240,2048,37486592,1000000,10,3287695714,67643297312,104452320653,72292395958,
qr,geqrt,10240,2048,37486592,4000000,5,368232164,21972440418,44483869285,34025539596,
qr,ormqr,10240,2048,37486592,4000000,10,105602786,29502532520,11555257741,4048277289,
qr,tsmqr,10240,2048,37486592,4000000,30,356529781,145419319797,46483655908,9635615796,
qr,tsqrt,10240,2048,37486592,4000000,10,3371505276,67643282151,158746120524,126670799824,
qr,geqrt,12288,256,37486592,1000000,48,397023,842803248,519812041,207226537,
qr,ormqr,12288,256,37486592,1000000,1128,16201107,8208372383,3815059018,1524430065,
qr,tsmqr,12288,256,37486592,1000000,35720,982268686,378092824626,135280281710,36089184025,
qr,tsqrt,12288,256,37486592,1000000,1128,15967893,23646600461,14753317994,5464691210,
qr,geqrt,12288,256,37486592,4000000,48,392540,842768534,525806935,212300936,
qr,ormqr,12288,256,37486592,4000000,1128,16224373,8208366432,4040146369,1767805847,
qr,tsmqr,12288,256,37486592,4000000,35720,976652762,378092505041,144551931261,45446918965,
qr,tsqrt,12288,256,37486592,4000000,1128,16047620,23646630390,15096137828,5816083490,
qr,geqrt,12288,512,37486592,1000000,24,1718281,2376627732,2389991708,1402376050,
qr,ormqr,12288,512,37486592,1000000,276,11261535,14039309985,6169642761,2424851647,
qr,tsmqr,12288,512,37486592,1000000,4324,540783491,343831465334,117110107193,28033856940,
qr,tsqrt,12288,512,37486592,1000000,276,24608479,36394453973,41920122400,25866525284,
qr,geqrt,12288,512,37486592,4000000,24,1584854,2376608070,2758792392,1767911463,
qr,ormqr,12288,512,37486592,4000000,276,11322990,14039308672,6721656108,2966104524,
qr,tsmqr,12288,512,37486592,4000000,4324,538759317,343831469331,119795915065,30921996239,
qr,tsqrt,12288,512,37486592,4000000,276,23962958,36394444101,52340309031,36047768961,
qr,geqrt,12288,1024,37486592,1000000,12,4689142,7555258930,9966139043,6534802292,
qr,ormqr,12288,1024,37486592,1000000,66,38339148,25125941599,9498215648,2982328863,
qr,tsmqr,12288,1024,37486592,1000000,506,469985736,311286897414,98649426557,19369550902,
qr,tsqrt,12288,1024,37486592,1000000,66,38130797,60358322138,82486851065,53713666106,
qr,geqrt,12288,1024,37486592,4000000,12,5029813,7555257514,12102491773,8618621342,
qr,ormqr,12288,1024,37486592,4000000,66,38128385,25125939345,10420795350,3901349601,
qr,tsmqr,12288,1024,37486592,4000000,506,463270094,311286860998,101654212896,22383731046,
qr,tsqrt,12288,1024,37486592,4000000,66,36907612,60358310375,103205512438,73885615681,
qr,geqrt,12288,2048,37486592,1000000,6,489244678,26366822945,40797391745,28169829459,
qr,ormqr,12288,2048,37486592,1000000,15,171604457,44253792796,15437911484,4161432503,
qr,tsmqr,12288,2048,37486592,1000000,55,679693304,266602096414,82499841613,14987544866,
qr,tsqrt,12288,2048,37486592,1000000,15,4773701432,101464945865,156468326298,108217985836,
qr,geqrt,12288,2048,37486592,4000000,6,438686209,26366816017,53355340075,40790882408,
qr,ormqr,12288,2048,37486592,4000000,15,161822189,44253789789,17718795382,6438455131,
qr,tsmqr,12288,2048,37486592,4000000,55,660531283,266602079253,85229392298,17668540051,
qr,tsqrt,12288,2048,37486592,4000000,15,4729796824,101464923067,235713092144,187551390587,
qr,geqrt,14336,256,37486592,1000000,56,469322,983177886,605690937,240878260,
qr,ormqr,14336,256,37486592,1000000,1540,22730254,11206464941,5208051218,2089308652,
qr,tsmqr,14336,256,37486592,1000000,56980,1693874519,603127803385,215640112964,57427386442,
qr,tsqrt,14336,256,37486592,1000000,1540,22080910,32283491084,20129814937,7432149386,
qr,geqrt,14336,256,37486592,4000000,56,467841,983177026,609764140,245390594,
qr,ormqr,14336,256,37486592,4000000,1540,22277767,11206436445,5439461775,2340657474,
qr,tsmqr,14336,256,37486592,4000000,56980,1652374484,603126688296,232831515891,74552871003,
qr,tsqrt,14336,256,37486592,4000000,1540,21490582,32283464036,20453431992,7800003242,
qr,geqrt,14336,512,37486592,1000000,28,1986239,2772639372,2796491635,1644399463,
qr,ormqr,14336,512,37486592,1000000,378,15373339,19227747562,8444174116,3318122052,
qr,tsmqr,14336,512,37486592,1000000,6930,871998575,551052546621,187645955837,44938807118,
qr,tsqrt,14336,512,37486592,1000000,378,34050815,49844576019,57460664530,35415076323,
qr,geqrt,14336,512,37486592,4000000,28,1893295,2772638808,3208634452,2051080271,
qr,ormqr,14336,512,37486592,4000000,378,15022650,19227744945,9028899370,3896225118,
qr,tsmqr,14336,512,37486592,4000000,6930,872333924,551052775120,195281625911,52525951572,
qr,tsqrt,14336,512,37486592,4000000,378,33680851,49844590328,71766784024,49441370521,
qr,geqrt,14336,1024,37486592,1000000,14,5551516,8814376743,11621378656,7618383174,
qr,ormqr,14336,1024,37486592,1000000,91,53550989,34643338947,13090494198,4106099952,
qr,tsmqr,14336,1024,37486592,1000000,819,772405237,503841778077,159641377709,31309521194,
qr,tsqrt,14336,1024,37486592,1000000,91,49918214,83221327833,113231119848,74199873873,
qr,geqrt,14336,1024,37486592,4000000,14,5536754,8814374466,14139350587,10081358903,
qr,ormqr,14336,1024,37486592,4000000,91,53527889,34643335790,14122503814,5149235739,
qr,tsmqr,14336,1024,37486592,4000000,819,753582017,503841766971,164460808616,36157434870,
qr,tsqrt,14336,1024,37486592,4000000,91,49990660,83221307235,142191910139,101749014326,
qr,geqrt,14336,2048,37486592,1000000,7,532105835,30761199583,47436406214,32699983306,
qr,ormqr,14336,2048,37486592,1000000,21,245366421,61955302649,22032270453,6215216457,
qr,tsmqr,14336,2048,37486592,1000000,91,1087853338,441105280709,136448424352,24718472571,
qr,tsqrt,14336,2048,37486592,1000000,21,6547080458,142050927918,219427299410,151092200615,
qr,geqrt,14336,2048,37486592,4000000,7,566923614,30761186020,62616657347,47991463549,
qr,ormqr,14336,2048,37486592,4000000,21,231651015,61955298252,24875940889,9088010529,
qr,tsmqr,14336,2048,37486592,4000000,91,1074827648,441105252644,138936236961,27275181752,
qr,tsqrt,14336,2048,37486592,4000000,21,6598328876,142050895658,329717353536,262417138486,
qr,geqrt,16384,256,37486592,1000000,64,539111,1123553457,694077140,276853302,
qr,ormqr,16384,256,37486592,1000000,2016,29210793,14670277498,6734454718,2648306780,
qr,tsmqr,16384,256,37486592,1000000,85344,2583170364,903358097471,323497945766,86359839049,
qr,tsqrt,16384,256,37486592,1000000,2016,27954886,42262017138,26263475542,9646076573,
qr,geqrt,16384,256,37486592,4000000,64,538430,1123552296,703837997,285873231,
qr,ormqr,16384,256,37486592,4000000,2016,28962187,14670269502,7199018751,3133873117,
qr,tsmqr,16384,256,37486592,4000000,85344,2618383957,903357806174,349700964032,112525579760,
qr,tsqrt,16384,256,37486592,4000000,2016,29086964,42261982693,26749283296,10113067494,
qr,geqrt,16384,512,37486592,1000000,32,2212736,3168651850,3197397704,1882075206,
qr,ormqr,16384,512,37486592,1000000,496,19685156,25230055943,11075523111,4350825555,
qr,tsmqr,16384,512,37486592,1000000,10416,1309095814,828248951865,281862149972,67232223894,
qr,tsqrt,16384,512,37486592,1000000,496,45123202,65404531402,75392917862,46497422866,
qr,geqrt,16384,512,37486592,4000000,32,2199577,3168649470,3665232461,2343230933,
qr,ormqr,16384,512,37486592,4000000,496,20658452,25230053617,12068811656,5323594857,
qr,tsmqr,16384,512,37486592,4000000,10416,1303652606,828248908165,293188534441,78832378510,
qr,tsqrt,16384,512,37486592,4000000,496,44223212,65404516697,94196442789,64901587898,
qr,geqrt,16384,1024,37486592,1000000,16,6307741,10073481357,13294595390,8719122824,
qr,ormqr,16384,1024,37486592,1000000,120,66384362,45683520439,17268703157,5416791053,
qr,tsmqr,16384,1024,37486592,1000000,1240,1155187100,762837457954,238703991203,44612638340,
qr,tsqrt,16384,1024,37486592,1000000,120,71440019,109742410576,149521740910,98092554013,
qr,geqrt,16384,1024,37486592,4000000,16,6699238,10073478676,16137722688,11498189653,
qr,ormqr,16384,1024,37486592,4000000,120,71278744,45683516454,18974268267,7120276526,
qr,tsmqr,16384,1024,37486592,4000000,1240,1142672745,762837365073,245964278141,51916524437,
qr,tsqrt,16384,1024,37486592,4000000,120,66628497,109742386818,187565665423,134174406615,
qr,geqrt,16384,2048,37486592,1000000,8,594326608,35155576324,54230057958,37381696068,
qr,ormqr,16384,2048,37486592,1000000,28,311519322,82607063744,28784184360,7733393512,
qr,tsmqr,16384,2048,37486592,1000000,140,1634419507,678623511242,209711870952,37859156750,
qr,tsqrt,16384,2048,37486592,1000000,28,8789275066,189401237303,291709200106,201608920783,
qr,geqrt,16384,2048,37486592,4000000,8,615424864,35155567321,71222095879,54492213136,
qr,ormqr,16384,2048,37486592,4000000,28,312171781,82607057927,32785296353,11776776798,
qr,tsmqr,16384,2048,37486592,4000000,140,1643735432,678623463821,216635288827,44654725172,
qr,tsqrt,16384,2048,37486592,4000000,28,8642130313,189401193955,437328487115,347282185312,
qr,geqrt,18432,256,37486592,1000000,72,613465,1263927521,786890433,317697002,
qr,ormqr,18432,256,37486592,1000000,2556,36777811,18599815895,8667100960,3482443644,
qr,tsmqr,18432,256,37486592,1000000,121836,3784417135,1289623014745,463405530861,124283048352,
qr,tsqrt,18432,256,37486592,1000000,2556,35217590,53582171019,33124472097,12146752176,
qr,geqrt,18432,256,37486592,4000000,72,620843,1263926961,786922069,318448260,
qr,ormqr,18432,256,37486592,4000000,2556,36751206,18599780076,9150948429,3995488737,
qr,tsmqr,18432,256,37486592,4000000,121836,3766385417,1289621155689,500114305178,160970650893,
qr,tsqrt,18432,256,37486592,4000000,2556,34808579,53582279522,33609132582,12647399579,
qr,geqrt,18432,512,37486592,1000000,36,2873124,3564664843,3597229501,2119681595,
qr,ormqr,18432,512,37486592,1000000,630,25273605,32046239016,13837193591,5287698219,
qr,tsmqr,18432,512,37486592,1000000,14910,1904653028,1185598436977,404450779373,96485241832,
qr,tsqrt,18432,512,37486592,1000000,630,59182238,83074296113,95772244239,59181535878,
qr,geqrt,18432,512,37486592,4000000,36,2806464,3564663734,4135091383,2652033119,
qr,ormqr,18432,512,37486592,4000000,630,25907921,32046234335,15356292446,6769282709,
qr,tsmqr,18432,512,37486592,4000000,14910,1886355991,1185597896135,420784074614,113190356797,
qr,tsqrt,18432,512,37486592,4000000,630,56647681,83074298360,119628113577,82510189339,
qr,geqrt,18432,1024,37486592,1000000,18,7254827,11332610111,14959813269,9825370300,
qr,ormqr,18432,1024,37486592,1000000,153,87318811,58246485341,22033420008,6890132467,
qr,tsmqr,18432,1024,37486592,1000000,1785,1653108333,1098116727325,348643077197,68105798244,
qr,tsqrt,18432,1024,37486592,1000000,153,84666124,139921572246,190648904848,125243409256,
qr,geqrt,18432,1024,37486592,4000000,18,7199465,11332608004,18173149934,12977897351,
qr,ormqr,18432,1024,37486592,4000000,153,84761386,58246479647,23718058278,8588695886,
qr,tsmqr,18432,1024,37486592,4000000,1785,1607742605,1098116646438,358635181716,78143796949,
qr,tsqrt,18432,1024,37486592,4000000,153,89296919,139921539003,239118181309,171563457782,
qr,geqrt,18432,2048,37486592,1000000,9,610489376,39549953121,60872180628,41970337753,
qr,ormqr,18432,2048,37486592,1000000,36,419913719,106209076365,37070532979,9915579270,
qr,tsmqr,18432,2048,37486592,1000000,204,2444548483,988851391709,306039099338,54797035319,
qr,tsqrt,18432,2048,37486592,1000000,36,10621176931,243515879525,373983890803,258515401403,
qr,geqrt,18432,2048,37486592,4000000,9,716880257,39549942684,80438465441,61700756531,
qr,ormqr,18432,2048,37486592,4000000,36,410929288,106209069307,43134901982,15988709307,
qr,tsmqr,18432,2048,37486592,4000000,204,2481423800,988851333849,316143018268,64765432807,
qr,tsqrt,18432,2048,37486592,4000000,36,10537753194,243515823699,558305935169,443145524495,
qr,geqrt,20480,256,37486592,1000000,80,684290,1404301022,865465009,345176557,
qr,ormqr,20480,256,37486592,1000000,3160,46930684,22995077035,10708156774,4297725193,
qr,tsmqr,20480,256,37486592,1000000,167480,5397327636,1772759809577,636209094066,170296475277,
