algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
invert,getrf,8192,256,37486592,1000000,32,1440135,193339842,84868292,30408675,
invert,gemm,8192,256,37486592,1000000,10416,334616959,41358133113,14677635731,3910061377,
invert,trsm,8192,256,37486592,1000000,992,17083289,6186040575,2898306035,1150473204,
invert,getri,8192,256,37486592,1000000,32,1226638,325765092,153560846,58425374,
invert,getrf,8192,256,37486592,4000000,32,1414346,193339855,100537159,46135796,
invert,gemm,8192,256,37486592,4000000,10416,321889847,41358135983,15787815368,5024140832,
invert,trsm,8192,256,37486592,4000000,992,16640274,6186032211,3031677483,1278495762,
invert,getri,8192,256,37486592,4000000,32,1220827,325764654,168651196,73479836,
invert,getrf,8192,512,37486592,1000000,16,3167962,477354692,238054917,108615320,
invert,gemm,8192,512,37486592,1000000,1240,199769383,38217757354,12914938407,3053854371,
invert,trsm,8192,512,37486592,1000000,240,18618190,8145598240,3755123444,1484768866,
invert,getri,8192,512,37486592,1000000,16,2925455,753860231,405180061,186896515,
invert,getrf,8192,512,37486592,4000000,16,3223732,477354432,297564086,166923573,
invert,gemm,8192,512,37486592,4000000,1240,194936095,38217759264,13436199938,3560159449,
invert,trsm,8192,512,37486592,4000000,240,18730923,8145603466,3850129486,1579560556,
invert,getri,8192,512,37486592,4000000,16,2812702,753859926,473943607,255967511,
invert,getrf,8192,1024,37486592,1000000,8,7897796,1310923557,622932257,273214121,
invert,gemm,8192,1024,37486592,1000000,140,137487072,33935588906,10727642926,2087464294,
invert,trsm,8192,1024,37486592,1000000,56,26937243,11118940250,4709977402,1686411766,
invert,getri,8192,1024,37486592,1000000,8,6357370,2073480355,1052392813,479613612,
invert,getrf,8192,1024,37486592,4000000,8,8438770,1310923289,782183908,431553851,
invert,gemm,8192,1024,37486592,4000000,140,133687615,33935579422,11091423081,2442361455,
invert,trsm,8192,1024,37486592,4000000,56,25939295,11118938313,4845817745,1816602722,
invert,getri,8192,1024,37486592,4000000,8,7008286,2073480552,1245292378,672751028,
invert,getrf,8192,2048,37486592,1000000,4,25329731,3916131171,2017427406,966640942,
invert,gemm,8192,2048,37486592,1000000,14,111409904,26941609149,8391217283,1550975037,
invert,trsm,8192,2048,37486592,1000000,12,37659737,15325097758,5837691531,1775650538,
invert,getri,8192,2048,37486592,1000000,4,27080440,6672240731,3383078385,1577518828,
invert,getrf,8192,2048,37486592,4000000,4,25432091,3916130781,2394378184,1347361782,
invert,gemm,8192,2048,37486592,4000000,14,106679569,26941607193,8606209488,1759085042,
invert,trsm,8192,2048,37486592,4000000,12,37672202,15325096417,5978044011,1915406435,
invert,getri,8192,2048,37486592,4000000,4,25762128,6672239783,3837796642,2034719500,
invert,getrf,10240,256,37486592,1000000,40,1723080,241648609,106311175,38316154,
invert,gemm,10240,256,37486592,1000000,20540,640437066,81556800963,28729674931,7493187833,
invert,trsm,10240,256,37486592,1000000,1560,25723212,9728051444,4586913820,1832843554,
invert,getri,10240,256,37486592,1000000,40,1709064,407195312,196089647,76588674,
invert,getrf,10240,256,37486592,4000000,40,1816277,241648395,126552433,58582522,
invert,gemm,10240,256,37486592,4000000,20540,606316143,81556994150,30748117149,9521856184,
invert,trsm,10240,256,37486592,4000000,1560,25188020,9728039551,4700577172,1955648282,
invert,getri,10240,256,37486592,4000000,40,1803550,407195266,216703622,96945735,
