algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
cholesky,potrf,8192,256,37486592,1000000,32,318079,8865,
cholesky,trsm,8192,256,37486592,1000000,496,15531286,424785,
cholesky,syrk,8192,256,37486592,1000000,496,11791096,240563,
cholesky,gemm,8192,256,37486592,1000000,4960,224829307,377040,
cholesky,potrf,8192,256,37486592,4000000,32,320401,9132,
cholesky,trsm,8192,256,37486592,4000000,496,15361880,422780,
cholesky,syrk,8192,256,37486592,4000000,496,11838701,243055,
cholesky,gemm,8192,256,37486592,4000000,4960,224738998,514893,
cholesky,potrf,8192,512,37486592,1000000,16,2302836,39620,
cholesky,trsm,8192,512,37486592,1000000,120,23761370,423405,
cholesky,syrk,8192,512,37486592,1000000,120,27000408,359144,
cholesky,gemm,8192,512,37486592,1000000,560,185606587,293468,
cholesky,potrf,8192,512,37486592,4000000,16,2272274,54539,
cholesky,trsm,8192,512,37486592,4000000,120,22514441,1478727,
cholesky,syrk,8192,512,37486592,4000000,120,26457431,584865,
cholesky,gemm,8192,512,37486592,4000000,560,185492301,448443,
cholesky,potrf,8192,1024,37486592,1000000,8,5421075,83176,
cholesky,trsm,8192,1024,37486592,1000000,28,34663544,398633,
cholesky,syrk,8192,1024,37486592,1000000,28,36260869,337644,
cholesky,gemm,8192,1024,37486592,1000000,56,115509570,242877,
cholesky,potrf,8192,1024,37486592,4000000,8,5384069,155732,
cholesky,trsm,8192,1024,37486592,4000000,28,33718948,1136148,
cholesky,syrk,8192,1024,37486592,4000000,28,35447412,933227,
cholesky,gemm,8192,1024,37486592,4000000,56,115591568,470629,
cholesky,potrf,8192,2048,37486592,1000000,4,14254349,139588,
cholesky,trsm,8192,2048,37486592,1000000,6,49038629,279224,
cholesky,syrk,8192,2048,37486592,1000000,6,53703765,291896,
cholesky,gemm,8192,2048,37486592,1000000,4,60196697,53768,
cholesky,potrf,8192,2048,37486592,4000000,4,13996446,285328,
cholesky,trsm,8192,2048,37486592,4000000,6,48745978,811701,
cholesky,syrk,8192,2048,37486592,4000000,6,52879874,739811,
cholesky,gemm,8192,2048,37486592,4000000,4,60187805,115788,
