algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L2_TCR,PAPI_L2_TCW,
lu,getrfpiv,8192,256,37486592,1000000,32,54352817,36226384,
lu,gemm,8192,256,37486592,1000000,10416,329178333,337358665,
lu,trsmswp,8192,256,37486592,1000000,496,258004498,143590228,
lu,geswp,8192,256,37486592,1000000,31,65786124,129371215,
lu,getrfpiv,8192,256,37486592,4000000,32,53723323,36051782,
lu,gemm,8192,256,37486592,4000000,10416,309532123,335153548,
lu,trsmswp,8192,256,37486592,4000000,496,258156399,137522505,
lu,geswp,8192,256,37486592,4000000,31,65601824,128002548,
lu,getrfpiv,8192,512,37486592,1000000,16,69965313,43272856,
lu,gemm,8192,512,37486592,1000000,1240,300348360,243922116,
lu,trsmswp,8192,512,37486592,1000000,120,315194296,144722420,
lu,geswp,8192,512,37486592,1000000,15,80322855,124741758,
lu,getrfpiv,8192,512,37486592,4000000,16,69188574,43238966,
lu,gemm,8192,512,37486592,4000000,1240,297300633,243546866,
lu,trsmswp,8192,512,37486592,4000000,120,306709487,139507504,
lu,geswp,8192,512,37486592,4000000,15,69179566,124186830,
lu,getrfpiv,8192,1024,37486592,1000000,8,97526677,52650878,
lu,gemm,8192,1024,37486592,1000000,140,151943016,127935468,
lu,trsmswp,8192,1024,37486592,1000000,28,319963154,81115414,
lu,geswp,8192,1024,37486592,1000000,7,68598998,52986022,
lu,getrfpiv,8192,1024,37486592,4000000,8,96872889,52107831,
lu,gemm,8192,1024,37486592,4000000,140,151273112,127418870,
lu,trsmswp,8192,1024,37486592,4000000,28,320979379,123197310,
lu,geswp,8192,1024,37486592,4000000,7,67041512,82673973,
lu,getrfpiv,8192,2048,37486592,1000000,4,154357072,58600564,
lu,gemm,8192,2048,37486592,1000000,14,116892917,77870395,
lu,trsmswp,8192,2048,37486592,1000000,6,308628873,63464168,
lu,geswp,8192,2048,37486592,1000000,3,73811184,45805220,
lu,getrfpiv,8192,2048,37486592,4000000,4,154614458,56822732,
lu,gemm,8192,2048,37486592,4000000,14,117030514,77974028,
lu,trsmswp,8192,2048,37486592,4000000,6,312295176,107325790,
lu,geswp,8192,2048,37486592,4000000,3,76345353,82353571,
lu,getrfpiv,10240,256,37486592,1000000,40,83431279,56388778,
lu,gemm,10240,256,37486592,1000000,20540,634058812,665393223,
lu,trsmswp,10240,256,37486592,1000000,780,407825293,224823394,
lu,geswp,10240,256,37486592,1000000,39,103997468,203603155,
lu,getrfpiv,10240,256,37486592,4000000,40,82469385,56163414,
lu,gemm,10240,256,37486592,4000000,20540,615898984,660981010,
lu,trsmswp,10240,256,37486592,4000000,780,404077557,215944896,
lu,geswp,10240,256,37486592,4000000,39,103664603,201293949,
lu,getrfpiv,10240,512,37486592,1000000,20,105241689,67304412,
lu,gemm,10240,512,37486592,1000000,2470,594547818,485965616,
lu,trsmswp,10240,512,37486592,1000000,190,498861567,228198140,
lu,geswp,10240,512,37486592,1000000,19,127791497,197829874,
lu,getrfpiv,10240,512,37486592,4000000,20,104459235,66318728,
lu,gemm,10240,512,37486592,4000000,2470,590984861,485097097,
lu,trsmswp,10240,512,37486592,4000000,190,487019256,219620442,
lu,geswp,10240,512,37486592,4000000,19,110313836,196881682,
lu,getrfpiv,10240,1024,37486592,1000000,10,141526749,82037554,
lu,gemm,10240,1024,37486592,1000000,285,310598252,261203558,
lu,trsmswp,10240,1024,37486592,1000000,45,514894383,130304466,
lu,geswp,10240,1024,37486592,1000000,9,109956184,80171236,
lu,getrfpiv,10240,1024,37486592,4000000,10,140559925,80637886,
lu,gemm,10240,1024,37486592,4000000,285,308466765,259130612,
lu,trsmswp,10240,1024,37486592,4000000,45,516169731,199412408,
lu,geswp,10240,1024,37486592,4000000,9,107861544,128638498,
lu,getrfpiv,10240,2048,37486592,1000000,5,217536516,88385030,
lu,gemm,10240,2048,37486592,1000000,30,252923001,167048016,
lu,trsmswp,10240,2048,37486592,1000000,10,517512272,105204038,
lu,geswp,10240,2048,37486592,1000000,4,121725050,73487450,
lu,getrfpiv,10240,2048,37486592,4000000,5,217060153,87829044,
lu,gemm,10240,2048,37486592,4000000,30,250099283,167131140,
lu,trsmswp,10240,2048,37486592,4000000,10,516700425,178722324,
lu,geswp,10240,2048,37486592,4000000,4,122324466,136221474,
lu,getrfpiv,12288,256,37486592,1000000,48,120483486,81315609,
lu,gemm,12288,256,37486592,1000000,35720,1113407652,1157621896,
lu,trsmswp,12288,256,37486592,1000000,1128,588216061,324091490,
lu,geswp,12288,256,37486592,1000000,47,150839656,293940351,
lu,getrfpiv,12288,256,37486592,4000000,48,118880237,81014710,
lu,gemm,12288,256,37486592,4000000,35720,1046748073,1150689474,
lu,trsmswp,12288,256,37486592,4000000,1128,587436097,308772952,
