algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
lu,getrfpiv,8192,256,37486592,1000000,32,17640038,1656157827,845266075,398513462,
lu,gemm,8192,256,37486592,1000000,10416,126570876,41358311867,13787646757,3058705929,
lu,trsmswp,8192,256,37486592,1000000,496,34803584,4082715657,2344619771,1188448746,
lu,geswp,8192,256,37486592,1000000,31,5572634,212231744,637745404,555157501,
lu,getrfpiv,8192,256,37486592,4000000,32,17571884,1656157175,1068973310,621237491,
lu,gemm,8192,256,37486592,4000000,10416,126014557,41358301956,14329867372,3594085168,
lu,trsmswp,8192,256,37486592,4000000,496,34711313,4082689163,2739675178,1571049293,
lu,geswp,8192,256,37486592,4000000,31,5659862,212231005,736568050,650899705,
lu,getrfpiv,8192,512,37486592,1000000,16,26466053,2774956600,1236032681,498888923,
lu,gemm,8192,512,37486592,1000000,1240,120556613,38217730366,12535841377,2685981084,
lu,trsmswp,8192,512,37486592,1000000,120,44148220,5005958380,2951970762,1553678860,
lu,geswp,8192,512,37486592,1000000,15,8503770,200780635,834273404,761165870,
lu,getrfpiv,8192,512,37486592,4000000,16,26259011,2774957063,1508537280,771237960,
lu,gemm,8192,512,37486592,4000000,1240,116760837,38217740935,12926578810,3079121672,
lu,trsmswp,8192,512,37486592,4000000,120,43655364,5005956455,3568760623,2161748298,
lu,geswp,8192,512,37486592,4000000,15,8362099,200780926,1008243104,929903092,
lu,getrfpiv,8192,1024,37486592,1000000,8,39200698,5071626188,2007091071,688725452,
lu,gemm,8192,1024,37486592,1000000,140,73209731,33935586529,10520180951,1888958641,
lu,trsmswp,8192,1024,37486592,1000000,28,40790944,6415516485,3394473159,1646564534,
lu,geswp,8192,1024,37486592,1000000,7,11076961,185246827,853483210,779038077,
lu,getrfpiv,8192,1024,37486592,4000000,8,38923512,5071625436,2318256081,997169312,
lu,gemm,8192,1024,37486592,4000000,140,70568870,33935580137,10733419008,2103433988,
lu,trsmswp,8192,1024,37486592,4000000,28,40749095,6415515802,3966887838,2210762023,
lu,geswp,8192,1024,37486592,4000000,7,11235208,185246602,1044330298,966809366,
lu,getrfpiv,8192,2048,37486592,1000000,4,51222569,9836269954,3603275753,1035511965,
lu,gemm,8192,2048,37486592,1000000,14,63444776,26941608388,8248013370,1415292134,
lu,trsmswp,8192,2048,37486592,1000000,6,52640529,8390010903,3889405938,1658606655,
lu,geswp,8192,2048,37486592,1000000,3,22372295,157861854,817759388,752657209,
lu,getrfpiv,8192,2048,37486592,4000000,4,50318476,9836269227,4027139223,1435927309,
lu,gemm,8192,2048,37486592,4000000,14,60827249,26941606831,8413128371,1576444711,
lu,trsmswp,8192,2048,37486592,4000000,6,49312564,8390009996,4500993538,2264161190,
lu,geswp,8192,2048,37486592,4000000,3,21401288,157861901,1173729406,1104598918,
lu,getrfpiv,10240,256,37486592,1000000,40,27362731,2548821063,1278866790,593239305,
lu,gemm,10240,256,37486592,1000000,20540,274925438,81557071298,27296229320,6131181704,
lu,trsmswp,10240,256,37486592,1000000,780,56836536,6420284564,3682766788,1864664677,
lu,geswp,10240,256,37486592,1000000,39,9008019,334237145,1007020534,876728553,
lu,getrfpiv,10240,256,37486592,4000000,40,27452125,2548821788,1637175343,950554802,
lu,gemm,10240,256,37486592,4000000,20540,272625846,81557041198,28428181412,7244877705,
lu,trsmswp,10240,256,37486592,4000000,780,57206443,6420306763,4332465398,2496995653,
lu,geswp,10240,256,37486592,4000000,39,9091281,334236728,1170791881,1035478047,
lu,getrfpiv,10240,512,37486592,1000000,20,40851570,4248869401,1864012653,739003300,
lu,gemm,10240,512,37486592,1000000,2470,256967295,76127302430,24985712308,5360193364,
lu,trsmswp,10240,512,37486592,1000000,190,75741662,7926008757,4699711800,2492544391,
lu,geswp,10240,512,37486592,1000000,19,14269559,318370928,1326024542,1209950777,
lu,getrfpiv,10240,512,37486592,4000000,20,40508916,4248868706,2286406726,1159212161,
lu,gemm,10240,512,37486592,4000000,2470,248914351,76127157137,25801247784,6185610697,
lu,trsmswp,10240,512,37486592,4000000,190,74879946,7926015677,5723911307,3500020133,
lu,geswp,10240,512,37486592,4000000,19,14376821,318370319,1619770305,1494951142,
lu,getrfpiv,10240,1024,37486592,1000000,10,58834578,7713696247,2993805553,992438885,
lu,gemm,10240,1024,37486592,1000000,285,158162504,69083149915,21419022794,3849082390,
lu,trsmswp,10240,1024,37486592,1000000,45,71282130,10310581353,5486773253,2662729003,
lu,geswp,10240,1024,37486592,1000000,9,21104804,298152115,1391460381,1270943301,
lu,getrfpiv,10240,1024,37486592,4000000,10,58777042,7713695373,3477770281,1472320235,
lu,gemm,10240,1024,37486592,4000000,285,151132704,69083151709,21848962907,4277328944,
lu,trsmswp,10240,1024,37486592,4000000,45,70180720,10310580738,6501917942,3656001136,
lu,geswp,10240,1024,37486592,4000000,9,21178732,298151805,1736762358,1610723985,
lu,getrfpiv,10240,2048,37486592,1000000,5,72887028,14845462665,5352891919,1485209137,
lu,gemm,10240,2048,37486592,1000000,30,146564786,57732016968,17676876745,3038328498,
lu,trsmswp,10240,2048,37486592,1000000,10,88128558,13983287087,6511080084,2782838512,
lu,geswp,10240,2048,37486592,1000000,4,42291068,263489092,1385174832,1276003562,
lu,getrfpiv,10240,2048,37486592,4000000,5,72097330,14845461457,5992908166,2092000099,
lu,gemm,10240,2048,37486592,4000000,30,127929558,57732012843,18024202633,3372903973,
lu,trsmswp,10240,2048,37486592,4000000,10,84077753,13983285193,7545315544,3817590267,
lu,geswp,10240,2048,37486592,4000000,4,37905356,263488783,1999487106,1883672377,
lu,getrfpiv,12288,256,37486592,1000000,48,42273986,3634364666,1863640890,885579995,
lu,gemm,12288,256,37486592,1000000,35720,519477016,141831648997,47572488153,10741866047,
lu,trsmswp,12288,256,37486592,1000000,1128,86205665,9284844953,5348448079,2719592563,
lu,geswp,12288,256,37486592,1000000,47,13449905,482950851,1464919411,1276267583,
lu,getrfpiv,12288,256,37486592,4000000,48,43155742,3634363091,2408246264,1427395544,
lu,gemm,12288,256,37486592,4000000,35720,517222929,141831672099,49629723218,12798571269,
lu,trsmswp,12288,256,37486592,4000000,1128,86082659,9284796430,6343973344,3668759580,
lu,geswp,12288,256,37486592,4000000,47,13561820,482948666,1711601698,1515532642,
lu,getrfpiv,12288,512,37486592,1000000,24,62734957,6036274614,2687814954,1088798255,
lu,gemm,12288,512,37486592,1000000,4324,461757354,133268976149,43745474117,9396666763,
lu,trsmswp,12288,512,37486592,1000000,276,114550239,11513674851,6799198913,3604678607,
lu,geswp,12288,512,37486592,1000000,23,21977321,462081080,1933980658,1765153721,
lu,getrfpiv,12288,512,37486592,4000000,24,62202226,6036274422,3324123917,1722039690,
lu,gemm,12288,512,37486592,4000000,4324,446267116,133268956359,45152117745,10802765061,
lu,trsmswp,12288,512,37486592,4000000,276,114031054,11513677345,8415703435,5181318057,
lu,geswp,12288,512,37486592,4000000,23,22070595,462080749,2375675389,2193827508,
lu,getrfpiv,12288,1024,37486592,1000000,12,88287677,10906837136,4271911664,1444070475,
lu,gemm,12288,1024,37486592,1000000,506,275870290,122652886025,38023047628,6829995813,
lu,trsmswp,12288,1024,37486592,1000000,66,110358254,15122264770,8039512413,3919471049,
lu,geswp,12288,1024,37486592,1000000,11,34704628,436925828,2060864200,1883419256,
lu,getrfpiv,12288,1024,37486592,4000000,12,86817517,10906836362,4986249391,2153032417,
lu,gemm,12288,1024,37486592,4000000,506,269848881,122652870864,38813684320,7618906889,
lu,trsmswp,12288,1024,37486592,4000000,66,109739968,15122263143,9616073340,5463494365,
lu,geswp,12288,1024,37486592,4000000,11,35367875,436925472,2625150810,2439178827,
lu,getrfpiv,12288,2048,37486592,1000000,6,110067244,20876055734,7561134529,2130507900,
lu,gemm,12288,2048,37486592,1000000,55,254982765,105842032419,32393279936,5554656160,
