algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
qr,geqrt,8192,256,37486592,1000000,32,249829991,
qr,ormqr,8192,256,37486592,1000000,496,3189637120,
qr,tsmqr,8192,256,37486592,1000000,10416,111608960736,
qr,tsqrt,8192,256,37486592,1000000,496,6014392832,
qr,geqrt,8192,256,37486592,4000000,32,249829991,
qr,ormqr,8192,256,37486592,4000000,496,3189637120,
qr,tsmqr,8192,256,37486592,4000000,10416,111608960736,
qr,tsqrt,8192,256,37486592,4000000,496,6014392832,
qr,geqrt,8192,512,37486592,1000000,16,908367031,
qr,ormqr,8192,512,37486592,1000000,120,6116474880,
qr,tsmqr,8192,512,37486592,1000000,1240,105379934320,
qr,tsqrt,8192,512,37486592,1000000,120,11235068160,
qr,geqrt,8192,512,37486592,4000000,16,908367031,
qr,ormqr,8192,512,37486592,4000000,120,6116474880,
qr,tsmqr,8192,512,37486592,4000000,1240,105379934320,
qr,tsqrt,8192,512,37486592,4000000,120,11235068160,
qr,geqrt,8192,1024,37486592,1000000,8,3450180063,
qr,ormqr,8192,1024,37486592,1000000,28,11357782016,
qr,tsmqr,8192,1024,37486592,1000000,140,94654301560,
qr,tsqrt,8192,1024,37486592,1000000,28,20587828352,
qr,geqrt,8192,1024,37486592,4000000,8,3450180063,
qr,ormqr,8192,1024,37486592,4000000,28,11357782016,
qr,tsmqr,8192,1024,37486592,4000000,140,94654301560,
qr,tsqrt,8192,1024,37486592,4000000,28,20587828352,
qr,geqrt,8192,2048,37486592,1000000,4,13432754291,
qr,ormqr,8192,2048,37486592,1000000,6,19426050048,
qr,tsmqr,8192,2048,37486592,1000000,14,75555537036,
qr,tsqrt,8192,2048,37486592,1000000,6,34961602368,
qr,geqrt,8192,2048,37486592,4000000,4,13432754291,
qr,ormqr,8192,2048,37486592,4000000,6,19426050048,
qr,tsmqr,8192,2048,37486592,4000000,14,75555537036,
qr,tsqrt,8192,2048,37486592,4000000,6,34961602368,
qr,geqrt,10240,256,37486592,1000000,40,312273471,
qr,ormqr,10240,256,37486592,1000000,780,5015961600,
qr,tsmqr,10240,256,37486592,1000000,20540,220089098840,
qr,tsqrt,10240,256,37486592,1000000,780,9458117760,
qr,geqrt,10240,256,37486592,4000000,40,312273471,
qr,ormqr,10240,256,37486592,4000000,780,5015961600,
qr,tsmqr,10240,256,37486592,4000000,20540,220089098840,
qr,tsqrt,10240,256,37486592,4000000,780,9458117760,
qr,geqrt,10240,512,37486592,1000000,20,1135444771,
qr,ormqr,10240,512,37486592,1000000,190,9684418560,
qr,tsmqr,10240,512,37486592,1000000,2470,209910030460,
qr,tsqrt,10240,512,37486592,1000000,190,17788857920,
qr,geqrt,10240,512,37486592,4000000,20,1135444771,
qr,ormqr,10240,512,37486592,4000000,190,9684418560,
qr,tsmqr,10240,512,37486592,4000000,2470,209910030460,
qr,tsqrt,10240,512,37486592,4000000,190,17788857920,
qr,geqrt,10240,1024,37486592,1000000,10,4312711061,
qr,ormqr,10240,1024,37486592,1000000,45,18253578240,
qr,tsmqr,10240,1024,37486592,1000000,285,192689113890,
qr,tsqrt,10240,1024,37486592,1000000,45,33087581280,
qr,geqrt,10240,1024,37486592,4000000,10,4312711061,
qr,ormqr,10240,1024,37486592,4000000,45,18253578240,
