algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
qr,geqrt,8192,256,37486592,1000000,32,612349,9423,
qr,ormqr,8192,256,37486592,1000000,496,65249584,3399769,
qr,tsmqr,8192,256,37486592,1000000,10416,1693705202,108010947,
qr,tsqrt,8192,256,37486592,1000000,496,90308575,441303,
qr,geqrt,8192,256,37486592,4000000,32,612653,8997,
qr,ormqr,8192,256,37486592,4000000,496,66041039,3263835,
qr,tsmqr,8192,256,37486592,4000000,10416,1692484018,109400955,
qr,tsqrt,8192,256,37486592,4000000,496,91743515,479757,
qr,geqrt,8192,512,37486592,1000000,16,210815369,2581253,
qr,ormqr,8192,512,37486592,1000000,120,154880925,7155869,
qr,tsmqr,8192,512,37486592,1000000,1240,1314839580,48648229,
qr,tsqrt,8192,512,37486592,1000000,120,3183244005,3703777,
qr,geqrt,8192,512,37486592,4000000,16,204987394,3401489,
qr,ormqr,8192,512,37486592,4000000,120,150465587,7893277,
qr,tsmqr,8192,512,37486592,4000000,1240,1299049291,56641091,
qr,tsqrt,8192,512,37486592,4000000,120,3166004806,3559046,
qr,geqrt,8192,1024,37486592,1000000,8,1126431504,15143629,
qr,ormqr,8192,1024,37486592,1000000,28,186622963,6164850,
qr,tsmqr,8192,1024,37486592,1000000,140,879157724,21695810,
qr,tsqrt,8192,1024,37486592,1000000,28,6403417901,7496857,
qr,geqrt,8192,1024,37486592,4000000,8,1105012330,20528205,
qr,ormqr,8192,1024,37486592,4000000,28,196109994,6695178,
qr,tsmqr,8192,1024,37486592,4000000,140,930488854,25791596,
qr,tsqrt,8192,1024,37486592,4000000,28,6373346769,7568122,
qr,geqrt,8192,2048,37486592,1000000,4,4451255809,69064763,
qr,ormqr,8192,2048,37486592,1000000,6,234546184,5227994,
qr,tsmqr,8192,2048,37486592,1000000,14,636514346,8452853,
qr,tsqrt,8192,2048,37486592,1000000,6,10977054207,13153821,
qr,geqrt,8192,2048,37486592,4000000,4,4410487767,93665175,
qr,ormqr,8192,2048,37486592,4000000,6,264422486,7607109,
qr,tsmqr,8192,2048,37486592,4000000,14,736163064,9590773,
qr,tsqrt,8192,2048,37486592,4000000,6,10954066402,9257325,
qr,geqrt,10240,256,37486592,1000000,40,712148,10311,
qr,ormqr,10240,256,37486592,1000000,780,103780897,4782880,
qr,tsmqr,10240,256,37486592,1000000,20540,3301765581,212693944,
qr,tsqrt,10240,256,37486592,1000000,780,105929400,705104,
qr,geqrt,10240,256,37486592,4000000,40,690681,10977,
qr,ormqr,10240,256,37486592,4000000,780,103792551,5398061,
qr,tsmqr,10240,256,37486592,4000000,20540,3349636427,216634870,
qr,tsqrt,10240,256,37486592,4000000,780,102811957,679836,
qr,geqrt,10240,512,37486592,1000000,20,265138886,2610114,
qr,ormqr,10240,512,37486592,1000000,190,240393395,11155874,
qr,tsmqr,10240,512,37486592,1000000,2470,2630454033,94396805,
qr,tsqrt,10240,512,37486592,1000000,190,5068200549,5732148,
qr,geqrt,10240,512,37486592,4000000,20,256045810,2694929,
qr,ormqr,10240,512,37486592,4000000,190,239065741,12444693,
qr,tsmqr,10240,512,37486592,4000000,2470,2588828017,114457827,
qr,tsqrt,10240,512,37486592,4000000,190,5038205740,6025640,
qr,geqrt,10240,1024,37486592,1000000,10,1410911882,15858146,
qr,ormqr,10240,1024,37486592,1000000,45,304151719,9883330,
qr,tsmqr,10240,1024,37486592,1000000,285,1784802180,44225698,
qr,tsqrt,10240,1024,37486592,1000000,45,10286444260,12896628,
qr,geqrt,10240,1024,37486592,4000000,10,1386429853,22037786,
qr,ormqr,10240,1024,37486592,4000000,45,292138149,10375892,
qr,tsmqr,10240,1024,37486592,4000000,285,1714504568,51288603,
qr,tsqrt,10240,1024,37486592,4000000,45,10247089242,9442918,
qr,geqrt,10240,2048,37486592,1000000,5,5559142125,93013298,
qr,ormqr,10240,2048,37486592,1000000,10,369192008,8844906,
qr,tsmqr,10240,2048,37486592,1000000,30,1262708199,18050139,
qr,tsqrt,10240,2048,37486592,1000000,10,18286368290,26283547,
qr,geqrt,10240,2048,37486592,4000000,5,5517216788,109954872,
qr,ormqr,10240,2048,37486592,4000000,10,361319610,13901888,
qr,tsmqr,10240,2048,37486592,4000000,30,1269026822,19998980,
qr,tsqrt,10240,2048,37486592,4000000,10,18243335505,22431003,
qr,geqrt,12288,256,37486592,1000000,48,854756,13774,
qr,ormqr,12288,256,37486592,1000000,1128,148015601,7440590,
qr,tsmqr,12288,256,37486592,1000000,35720,5771330406,372569224,
qr,tsqrt,12288,256,37486592,1000000,1128,103918395,788224,
qr,geqrt,12288,256,37486592,4000000,48,1052023,15768,
qr,ormqr,12288,256,37486592,4000000,1128,150547454,7636813,
qr,tsmqr,12288,256,37486592,4000000,35720,5808576969,378237776,
qr,tsqrt,12288,256,37486592,4000000,1128,103028388,789255,
qr,geqrt,12288,512,37486592,1000000,24,319981459,3694804,
qr,ormqr,12288,512,37486592,1000000,276,357129321,15951611,
qr,tsmqr,12288,512,37486592,1000000,4324,4539102474,169111962,
qr,tsqrt,12288,512,37486592,1000000,276,7384369311,7755490,
qr,geqrt,12288,512,37486592,4000000,24,307568595,5196063,
qr,ormqr,12288,512,37486592,4000000,276,347387284,18142207,
qr,tsmqr,12288,512,37486592,4000000,4324,4535768131,196434006,
qr,tsqrt,12288,512,37486592,4000000,276,7331136369,8742767,
qr,geqrt,12288,1024,37486592,1000000,12,1693615539,19268600,
qr,ormqr,12288,1024,37486592,1000000,66,426360158,14167661,
qr,tsmqr,12288,1024,37486592,1000000,506,3023712013,78179629,
qr,tsqrt,12288,1024,37486592,1000000,66,15095345581,17357844,
qr,geqrt,12288,1024,37486592,4000000,12,1663750328,27426770,
qr,ormqr,12288,1024,37486592,4000000,66,428335230,15361907,
qr,tsmqr,12288,1024,37486592,4000000,506,3034010581,90679923,
qr,tsqrt,12288,1024,37486592,4000000,66,15024795462,14045130,
qr,geqrt,12288,2048,37486592,1000000,6,6674273167,106829047,
qr,ormqr,12288,2048,37486592,1000000,15,556732171,13152804,
qr,tsmqr,12288,2048,37486592,1000000,55,2337054993,33039327,
qr,tsqrt,12288,2048,37486592,1000000,15,27434538298,33884724,
qr,geqrt,12288,2048,37486592,4000000,6,6607488013,143253508,
qr,ormqr,12288,2048,37486592,4000000,15,548596979,20761759,
qr,tsmqr,12288,2048,37486592,4000000,55,2299095452,36596472,
qr,tsqrt,12288,2048,37486592,4000000,15,27373790474,24648584,
qr,geqrt,14336,256,37486592,1000000,56,951400,15538,
qr,ormqr,14336,256,37486592,1000000,1540,204576224,10145616,
qr,tsmqr,14336,256,37486592,1000000,56980,9216805867,590168832,
qr,tsqrt,14336,256,37486592,1000000,1540,109048085,955578,
qr,geqrt,14336,256,37486592,4000000,56,947459,16493,
qr,ormqr,14336,256,37486592,4000000,1540,202256962,10944600,
qr,tsmqr,14336,256,37486592,4000000,56980,9388805789,608876327,
qr,tsqrt,14336,256,37486592,4000000,1540,107320977,1173637,
qr,geqrt,14336,512,37486592,1000000,28,370613008,5378522,
qr,ormqr,14336,512,37486592,1000000,378,483829109,21643351,
qr,tsmqr,14336,512,37486592,1000000,6930,7348104950,270956967,
qr,tsqrt,14336,512,37486592,1000000,378,10131713627,11451258,
qr,geqrt,14336,512,37486592,4000000,28,358167928,5271499,
qr,ormqr,14336,512,37486592,4000000,378,469077116,24371228,
qr,tsmqr,14336,512,37486592,4000000,6930,7042751927,313766647,
qr,tsqrt,14336,512,37486592,4000000,378,10060544484,11357735,
qr,geqrt,14336,1024,37486592,1000000,14,1974685754,22392682,
qr,ormqr,14336,1024,37486592,1000000,91,593991616,19910603,
qr,tsmqr,14336,1024,37486592,1000000,819,4902720720,127570824,
qr,tsqrt,14336,1024,37486592,1000000,91,20815623627,23628111,
qr,geqrt,14336,1024,37486592,4000000,14,1938104852,33357890,
qr,ormqr,14336,1024,37486592,4000000,91,590194563,20792825,
qr,tsmqr,14336,1024,37486592,4000000,819,4918606837,149878720,
qr,tsqrt,14336,1024,37486592,4000000,91,20716595480,18526506,
qr,geqrt,14336,2048,37486592,1000000,7,7801155432,105611757,
qr,ormqr,14336,2048,37486592,1000000,21,759943552,17959271,
qr,tsmqr,14336,2048,37486592,1000000,91,3802877498,54693014,
qr,tsqrt,14336,2048,37486592,1000000,21,38396566367,49438520,
qr,geqrt,14336,2048,37486592,4000000,7,7715462045,162015862,
qr,ormqr,14336,2048,37486592,4000000,21,767481225,29826322,
qr,tsmqr,14336,2048,37486592,4000000,91,3781011498,60444143,
qr,tsqrt,14336,2048,37486592,4000000,21,38329609533,32260762,
qr,geqrt,16384,256,37486592,1000000,64,1082282,17942,
qr,ormqr,16384,256,37486592,1000000,2016,268354865,14092411,
qr,tsmqr,16384,256,37486592,1000000,85344,14023977445,878647916,
qr,tsqrt,16384,256,37486592,1000000,2016,119708424,1161134,
qr,geqrt,16384,256,37486592,4000000,64,1144208,18383,
qr,ormqr,16384,256,37486592,4000000,2016,267681425,13948719,
qr,tsmqr,16384,256,37486592,4000000,85344,13900682485,910670165,
qr,tsqrt,16384,256,37486592,4000000,2016,116117183,1167976,
qr,geqrt,16384,512,37486592,1000000,32,423792667,5846001,
qr,ormqr,16384,512,37486592,1000000,496,637009499,28380097,
qr,tsmqr,16384,512,37486592,1000000,10416,11026026923,409566101,
qr,tsqrt,16384,512,37486592,1000000,496,13294095804,14366474,
qr,geqrt,16384,512,37486592,4000000,32,409066546,6466574,
qr,ormqr,16384,512,37486592,4000000,496,621446506,31878348,
qr,tsmqr,16384,512,37486592,4000000,10416,10903485624,458954979,
qr,tsqrt,16384,512,37486592,4000000,496,13214470902,15065677,
qr,geqrt,16384,1024,37486592,1000000,16,2253699019,29270579,
qr,ormqr,16384,1024,37486592,1000000,120,783724177,25520121,
qr,tsmqr,16384,1024,37486592,1000000,1240,7453876054,192725977,
qr,tsqrt,16384,1024,37486592,1000000,120,27426954572,32842512,
qr,geqrt,16384,1024,37486592,4000000,16,2216950390,36302636,
qr,ormqr,16384,1024,37486592,4000000,120,769609765,27626349,
qr,tsmqr,16384,1024,37486592,4000000,1240,7464336971,224572842,
qr,tsqrt,16384,1024,37486592,4000000,120,27318362068,25851590,
qr,geqrt,16384,2048,37486592,1000000,8,8909484861,132786311,
qr,ormqr,16384,2048,37486592,1000000,28,1029299809,23554120,
qr,tsmqr,16384,2048,37486592,1000000,140,5856022499,84009811,
qr,tsqrt,16384,2048,37486592,1000000,28,51199239830,62887523,
qr,geqrt,16384,2048,37486592,4000000,8,8824104910,182061514,
qr,ormqr,16384,2048,37486592,4000000,28,1017064928,40301307,
qr,tsmqr,16384,2048,37486592,4000000,140,5824196071,93174763,
qr,tsqrt,16384,2048,37486592,4000000,28,51096508857,44446182,
