algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
invert,getrf,8192,256,37486592,1000000,32,2993948,294526,
invert,gemm,8192,256,37486592,1000000,10416,625366820,5554343,
invert,trsm,8192,256,37486592,1000000,496,23514952,973198,
invert,getri,8192,256,37486592,1000000,32,3015699,132092,
invert,getrf,8192,256,37486592,4000000,32,2968576,295181,
invert,gemm,8192,256,37486592,4000000,10416,600357909,7246324,
invert,trsm,8192,256,37486592,4000000,496,22629910,1185835,
invert,getri,8192,256,37486592,4000000,32,2994965,133093,
invert,getrf,8192,512,37486592,1000000,16,11718342,1061162,
invert,gemm,8192,512,37486592,1000000,1240,512153485,2750774,
invert,trsm,8192,512,37486592,1000000,120,29234210,965230,
invert,getri,8192,512,37486592,1000000,16,20571575,1311508,
invert,getrf,8192,512,37486592,4000000,16,11735333,1079158,
invert,gemm,8192,512,37486592,4000000,1240,502436235,2768803,
invert,trsm,8192,512,37486592,4000000,120,28414529,1311552,
invert,getri,8192,512,37486592,4000000,16,20133850,1415923,
invert,getrf,8192,1024,37486592,1000000,8,27130684,2044911,
invert,gemm,8192,1024,37486592,1000000,140,400161134,1989094,
invert,trsm,8192,1024,37486592,1000000,28,40746680,886609,
invert,getri,8192,1024,37486592,1000000,8,66630284,3102776,
invert,getrf,8192,1024,37486592,4000000,8,27137803,2068388,
invert,gemm,8192,1024,37486592,4000000,140,391345384,2337710,
invert,trsm,8192,1024,37486592,4000000,28,39422334,1271584,
invert,getri,8192,1024,37486592,4000000,8,64738231,3385401,
invert,getrf,8192,2048,37486592,1000000,4,65444506,2937563,
invert,gemm,8192,2048,37486592,1000000,14,280949954,817659,
invert,trsm,8192,2048,37486592,1000000,6,54061430,721043,
invert,getri,8192,2048,37486592,1000000,4,173017207,5036446,
invert,getrf,8192,2048,37486592,4000000,4,65338139,2958242,
invert,gemm,8192,2048,37486592,4000000,14,274767398,931373,
invert,trsm,8192,2048,37486592,4000000,6,52683409,1026234,
invert,getri,8192,2048,37486592,4000000,4,167063653,5677001,
invert,getrf,10240,256,37486592,1000000,40,3811211,377929,
invert,gemm,10240,256,37486592,1000000,20540,1170935186,11290255,
invert,trsm,10240,256,37486592,1000000,780,37621830,1671334,
invert,getri,10240,256,37486592,1000000,40,3861167,202472,
invert,getrf,10240,256,37486592,4000000,40,3784621,375008,
invert,gemm,10240,256,37486592,4000000,20540,1130460232,13922740,
